date,stock,pnl,trades
2024-04-09,TSLA,7000,1
2024-04-11,NVDA,-1100,1
2024-04-16,META,500,1
2024-04-17,META,5000,1
2024-04-18,AMD,2300,1
2024-04-22,NVDA,22000,1
2024-04-24,NVDA,9800,1
2024-04-25,NVDA,9600,1
2024-04-29,NVDA,4000,1
2024-04-29,AAPL,4000,1
2024-04-30,NVDA,18000,1
2024-05-02,AMZN,90,1
2024-05-03,NVDA,3000,1
2024-05-06,TSLA,1500,1
2024-05-08,NVDA,3000,1
2024-05-10,NVDA,4000,1
2024-05-13,AAPL,3000,1
2024-05-15,NVDA,19000,1
2024-05-17,AMD,-2000,1
2024-05-17,AAPL,-2000,1
2024-05-20,NQ,4500,1
2024-05-21,TSLA,5200,1
2024-05-23,NVDA,3700,1
2024-05-29,AAPL,300,1
2024-05-30,TSLA,17000,1
2024-06-03,TSLA,2800,1
2024-06-05,TSLA,-2900,1
2024-06-07,AMD,900,1
2024-06-10,AMD,5100,1
2024-06-13,AAPL,60,1
2024-06-14,TSLA,1200,1
2024-06-17,TSLA,11000,1
2024-06-20,AMD,6700,1
2024-06-24,TSLA,80,1
2024-06-26,TSLA,3500,1
2024-06-26,AAPL,3500,1
2024-06-28,TSLA,4700,1
2024-07-01,TSLA,10300,1
2024-07-10,TSLA,2400,1
2024-07-11,TSLA,2200,1
2024-07-15,TSLA,10900,1
2024-07-17,AMD,1700,1
2024-07-19,NVDA,1500,1
2024-07-22,NVDA,-4800,1
2024-07-23,NVDA,-1600,1
2024-07-29,TSLA,2400,1
2024-08-01,NVDA,-1600,1
2024-08-07,AAPL,2000,1
2024-08-08,QQQ,4000,1
2024-08-13,AMD,-180,1
2024-08-14,NVDA,5500,1
2024-08-16,TSLA,6100,1
2024-08-20,AMD,2500,1
2024-08-20,TSLA,2500,1
2024-08-22,AMD,2800,1
2024-08-27,AMZN,1200,1
2024-08-29,TSLA,12000,1
2024-08-29,AAPL,12000,1
2024-09-03,NVDA,6200,1
2024-09-05,AAPL,2900,1
2024-09-12,TSLA,-3800,1
2024-09-19,TSLA,12000,1
2024-09-19,AAPL,12000,1
2024-09-23,TSLA,6000,1
2024-09-25,NVDA,2000,1
2024-09-25,TSLA,2000,1
2024-09-30,AAPL,2000,1
2024-10-02,NVDA,1700,1
2024-10-03,NVDA,12000,1
2024-10-04,NVDA,-1600,1
2024-10-14,NVDA,1200,1
2024-10-15,AAPL,6700,1
2024-10-23,NVDA,4000,1
2024-10-23,AAPL,-1000,1
2024-10-25,TSLA,21000,1
2024-11-01,AAPL,3000,1
2024-11-04,AMD,-1000,1
2024-11-05,NVDA,890,1
2024-11-06,TSLA,108000,1
2024-11-08,TSLA,65000,1
2024-11-08,AAPL,65000,1
2024-11-11,SPY,-300,1
2024-11-12,NVDA,6600,1
2024-11-14,NVDA,1400,1
2024-11-15,TSLA,250,1
2024-11-18,TSLA,10500,1
2024-11-19,TSLA,9500,1
2024-11-21,TSLA,500,1
2024-11-22,TSLA,30000,1
2024-11-30,AAPL,10000,1
2024-12-02,AAPL,1000,1
2024-12-02,TSLA,1000,1
2024-12-03,AAPL,4000,1
2024-12-06,TSLA,13000,1
2024-12-06,NVDA,13000,1
2024-12-09,AAPL,3000,1
2024-12-10,GOOG,3300,1
2024-12-10,TSLA,3300,1
2024-12-10,AAPL,3300,1
2024-12-11,TSLA,16000,1
2024-12-12,AMD,350,1
2024-12-16,SPY,-690,1
2024-12-18,TSLA,1500,1
2024-12-18,SPY,1500,1
2024-12-21,TSLA,4500,1
2024-12-26,AAPL,500,1
2024-12-30,NVDA,3000,1
2025-01-06,NVDA,6000,1
2025-01-10,SPY,8000,1
2025-01-10,AAPL,8000,1
2025-01-13,AAPL,1300,1
2025-01-14,AAPL,1900,1
2025-01-15,TSLA,32000,1
2025-01-16,TSLA,3700,1
2025-01-17,TSLA,21000,1
2025-01-28,AAPL,7000,1
2025-01-30,GOOGL,-1800,1
2025-02-04,NVDA,4000,1
2025-02-05,NVDA,6000,1
2025-02-10,TSLA,-4000,1
2025-02-10,NVDA,-4000,1
2025-02-11,AAPL,15000,1
2025-02-12,TSLA,3700,1
2025-02-14,AAPL,10300,1
2025-02-19,TSLA,16000,1
2025-02-20,AAPL,-2800,1
2025-02-25,AAPL,-1800,1
2025-02-27,TSLA,7500,1
2025-02-27,META,7500,1
2025-03-04,TSLA,20000,1
2025-03-06,TSLA,-4600,1
2025-03-07,AAPL,2200,1
2025-03-10,TSLA,22000,1
2025-03-12,TSLA,3900,1
2025-03-13,TSLA,11800,1
2025-03-14,NVDA,450,1
2025-03-17,NVDA,550,1
2025-03-17,AMD,550,1
2025-03-18,TSLA,2600,1
2025-03-21,TSLA,10000,1
2025-03-24,TSLA,7000,1
2025-03-24,AAPL,7000,1
2025-03-26,NVDA,7500,1
2025-03-27,TSLA,3000,1
2025-03-28,TSLA,5700,1
2025-03-31,NVDA,1600,1
2025-04-01,TSLA,8500,1
2025-04-01,AAPL,8500,1
2025-04-02,NVDA,600,1
2025-04-03,AAPL,6500,2
2025-04-03,QQQ,6500,2
2025-04-03,TSLA,6000,1
2025-04-08,AMD,4500,1
2025-04-09,TSLA,4700,1
2025-04-10,TSLA,100,1
2025-04-15,TSLA,6700,1
2025-04-16,TSLA,-3000,1
2025-04-22,AAPL,7000,1
2025-04-23,TSLA,150,1
2025-04-29,NVDA,2100,1
2025-05-01,TSLA,3500,1
2025-05-05,AMD,1200,1
2025-05-05,TSLA,1200,1
2025-05-06,TSLA,-5000,1
2025-05-08,TSLA,-200,1
2025-05-10,TSLA,75000,1
2025-05-13,TSLA,15300,1
2025-05-14,TSLA,6000,1
2025-05-16,TSLA,-2500,1
2025-05-19,NVDA,1400,1
2025-05-20,TSLA,-3900,1
2025-05-21,TSLA,-22000,1
2025-05-27,TSLA,25000,1
2025-05-29,NVDA,-3400,1
2025-05-29,SPY,-3400,1
2025-05-30,TSLA,12000,1
2025-06-02,TSLA,1400,1
2025-06-09,TSLA,9000,1
2025-06-10,AMD,5000,1
2025-06-13,TSLA,7000,1
2025-06-17,NVDA,-1800,1
2025-06-17,PLTR,-1800,1
2025-06-17,AMD,7500,1
2025-06-18,TSLA,9800,1
2025-06-23,TSLA,50000,1
2025-06-24,NVDA,7200,1
2025-06-25,NVDA,13000,1
2025-06-26,NVDA,21000,1
2025-06-27,NVDA,2000,1
2025-07-01,AAPL,6000,1
2025-07-02,NVDA,9400,1
2025-07-03,AAPL,2000,1
2025-07-08,NVDA,15000,1
2025-07-08,TSLA,15000,1
2025-07-09,NVDA,-3500,1
2025-07-09,META,-3500,1
2025-07-10,TSLA,10000,1
2025-07-11,NVDA,21000,1
2025-07-14,PLTR,9000,1
2025-07-15,TSLA,19000,1
2025-07-15,AMD,19000,1
2025-07-17,HOOD,11000,1
2025-07-18,TSLA,19000,1
2025-07-30,AMD,2000,1
2025-07-31,META,-7500,1
2025-08-01,TSLA,11500,1
2025-08-04,NVDA,6200,1
2025-08-04,TSLA,6200,1
2025-08-06,AAPL,20000,1
2025-08-07,AMD,15000,1
2025-08-07,TSLA,15000,1
2025-08-08,TSLA,35000,1
2025-08-13,TSLA,1000,1
2025-08-13,AMD,1000,1
2025-08-14,NVDA,8400,1
2025-08-18,NVDA,2000,1
2025-08-19,TSLA,20000,1
2025-08-20,AMD,13900,1
2025-08-22,TSLA,25000,1
2025-08-25,TSLA,700,1
2025-08-25,AAPL,700,1
2025-08-27,TSLA,800,1
2025-08-28,AMD,-2600,1
2025-08-29,TSLA,2700,1
2025-08-29,NVDA,2700,1
2025-09-02,TSLA,-5000,1
2025-09-02,NVDA,-5000,1
2025-09-03,NVDA,200,1
2025-09-03,AMD,200,1
2025-09-04,AAPL,3300,1
2025-09-05,TSLA,41000,1
2025-09-08,NVDA,6500,1
2025-09-11,TSLA,22000,1
2025-09-12,TSLA,96000,1
2025-09-15,TSLA,-7500,1
2025-09-15,PLTR,-7500,1
2025-09-16,AAPL,15000,1
2025-09-18,PLTR,4000,1
2025-09-19,TSLA,7000,1
2025-09-22,TSLA,50000,1
2025-09-23,PLTR,100,1
2025-09-24,TSLA,15500,1
2025-09-25,TSLA,490,1
2025-09-25,NVDA,490,1
2025-09-26,AAPL,2000,1
2025-09-29,NVDA,3900,1
2025-09-30,NVDA,23000,1
2025-10-01,TSLA,13000,1
2025-10-01,AMD,13000,1
2025-10-09,NVDA,-3000,1
2025-10-09,AMD,-3000,1
2025-10-17,TSLA,21000,1
2025-10-20,TSLA,21000,1
2025-10-21,AAPL,46,1
2025-10-22,GOOGL,145,1
2025-10-23,TSLA,28000,1
2025-10-27,TSLA,15000,1
2025-10-27,NVDA,15000,1
2025-10-28,TSLA,24000,1
2025-10-29,NVDA,7500,1
2025-10-29,AMD,7500,1
2025-10-31,TSLA,7000,1
2025-11-03,TSLA,13000,1
2025-11-03,NVDA,13000,1
2025-11-04,TSLA,5200,1
2025-11-04,AAPL,5200,1
2025-11-05,AMD,19000,1
2025-11-06,TSLA,8000,1
2025-11-07,TSLA,2000,1
2025-11-10,QQQ,650,1
2025-11-12,AAPL,10000,1
2025-11-12,AMD,10000,1
2025-11-13,NVDA,3800,1
2025-11-14,TSLA,29000,1
2025-11-17,TSLA,48000,1
2025-11-18,TSLA,18400,1
2025-11-19,TSLA,5800,1
2025-11-19,GOOGL,5800,1
2025-11-20,AAPL,15000,1
2025-11-24,TSLA,15000,1
2025-11-24,GOOGL,15000,1
2025-11-25,NVDA,550,1
2025-11-26,HOOD,-3000,1